Unnamed: 0,Marital Status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Previous qualification (grade),Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target,Admission Grade Category,Previous Qualification Category,1st_sem_grade_cat,2nd_sem_grade_cat
306,Single,17,4,9670,1,1,120.0,Portuguese,1,19,5,5,117.2,1,,0,1,Female,No Scholarship,18,0,0,6,8,6,11.875,0,0,6,11,4,14.6,0,11.1,0.6,2.02,Graduate,Middle,Middle,Medium,Medium
307,Single,39,1,9130,1,3,150.0,Portuguese,3,1,90,90,150.0,1,,0,1,Female,No Scholarship,34,0,1,5,6,1,11.0,0,0,5,5,0,0.0,0,12.7,3.7,-1.7,Dropout,High,High,Medium,Low
308,Single,1,3,9085,1,1,142.0,Portuguese,11,11,90,90,155.3,0,,0,1,Female,No Scholarship,19,0,0,5,5,5,15.2,0,0,5,6,5,13.2,0,7.6,2.6,0.32,Graduate,High,High,High,Medium
309,Single,44,1,9130,1,39,120.0,Portuguese,37,37,7,8,120.0,1,,1,0,Female,No Scholarship,19,0,2,6,7,5,11.6,0,1,6,12,2,11.0,0,12.4,0.5,1.79,Dropout,Middle,Middle,Medium,Medium
310,Single,51,1,9238,1,1,160.0,Portuguese,3,19,2,1,116.1,0,,1,1,Female,No Scholarship,26,0,0,6,6,6,14.83333333,0,0,6,7,6,15.14285714,0,11.1,0.6,2.02,Graduate,Middle,High,Medium,High
311,Single,17,1,9853,1,1,133.1,Portuguese,34,34,0,0,118.9,1,,0,1,Female,No Scholarship,21,0,0,6,12,3,11.33333333,0,0,6,10,3,11.33333333,0,7.6,2.6,0.32,Dropout,Middle,High,Medium,Medium
312,Single,17,2,9147,1,1,142.0,Portuguese,19,19,4,8,127.3,0,,0,1,Female,Scholarship,18,0,0,5,5,5,11.2,0,0,5,5,5,11.8,0,11.1,0.6,2.02,Graduate,High,High,Medium,Medium
313,Single,17,4,9853,1,1,121.0,Portuguese,38,38,5,7,113.7,1,,0,1,Female,Scholarship,20,0,0,6,8,5,13.4,0,0,6,9,5,13.66666667,0,9.4,-0.8,-3.12,Graduate,Middle,Middle,Medium,Medium
314,Single,51,1,9147,1,1,135.0,Portuguese,1,1,4,4,118.5,0,,0,1,Female,No Scholarship,25,0,0,5,12,2,10.5,0,0,5,5,0,0.0,0,11.1,0.6,2.02,Dropout,Middle,High,Medium,Low
315,Single,1,1,9147,1,1,153.0,Portuguese,1,38,4,3,146.7,0,,0,1,Female,No Scholarship,18,0,0,5,5,5,16.2,0,0,5,5,5,16.4,0,11.1,0.6,2.02,Graduate,High,High,High,High
316,Single,1,1,9500,1,1,140.0,Portuguese,19,19,3,6,124.3,1,,0,1,Female,Scholarship,18,0,0,7,7,7,14.54285714,0,0,8,11,8,14.88181818,0,16.2,0.3,-0.92,Graduate,Middle,High,Medium,Medium
317,Single,1,1,9500,1,1,152.0,Portuguese,41,19,3,5,137.8,0,,0,1,Female,No Scholarship,19,0,0,7,7,7,13.69428571,0,0,8,9,8,14.35555556,0,11.1,0.6,2.02,Graduate,High,High,Medium,Medium
318,Single,1,1,9238,1,1,120.0,Portuguese,19,38,5,9,130.2,0,,0,1,Female,Scholarship,18,0,0,6,8,6,11.28571429,0,0,6,10,6,11.85714286,0,12.4,0.5,1.79,Graduate,High,Middle,Medium,Medium
319,Single,17,1,9500,1,1,160.0,Portuguese,38,38,7,7,147.8,0,,0,1,Female,No Scholarship,20,0,0,7,11,6,11.75714286,0,0,8,12,6,13.08333333,0,15.5,2.8,-4.06,Enrolled,High,High,Medium,Medium
320,Single,7,1,9085,1,40,150.0,Portuguese,19,19,9,5,150.0,0,,1,0,Female,No Scholarship,26,0,0,3,3,0,0.0,0,0,6,0,0,0.0,0,8.9,1.4,3.51,Dropout,High,High,Low,Low
321,Single,42,1,9500,1,1,100.0,Portuguese,37,37,7,9,100.0,1,,0,1,Female,Scholarship,19,0,0,8,8,7,13.05857143,0,0,8,8,7,13.05857143,0,10.8,1.4,1.74,Graduate,Middle,Middle,Medium,Medium
322,Single,1,1,9500,1,1,150.0,Portuguese,1,1,5,1,155.6,0,,0,1,Female,No Scholarship,19,0,0,7,7,7,14.3,0,0,8,9,8,14.05555556,0,16.2,0.3,-0.92,Graduate,High,High,Medium,Medium
323,Single,43,4,9147,1,1,124.0,Portuguese,37,37,9,9,117.4,0,,0,1,Female,No Scholarship,19,0,3,10,15,5,11.8,0,4,10,14,8,12.0,0,7.6,2.6,0.32,Graduate,Middle,Middle,Medium,Medium
324,Single,5,3,9085,1,1,141.0,Portuguese,1,19,7,5,128.8,1,,0,1,Female,No Scholarship,19,0,0,5,9,3,10.33333333,1,0,5,8,3,13.0,0,7.6,2.6,0.32,Enrolled,High,High,Medium,Medium
325,Single,1,1,9254,1,1,121.0,Portuguese,19,19,5,8,117.5,1,,0,1,Female,No Scholarship,18,0,0,6,7,6,10.57142857,0,0,6,11,3,11.66666667,0,16.2,0.3,-0.92,Graduate,Middle,Middle,Medium,Medium
326,Single,43,1,9500,1,6,134.0,Portuguese,1,37,9,9,120.4,1,,0,1,Female,No Scholarship,19,0,0,7,7,6,13.33333333,0,0,7,7,6,13.33333333,0,7.6,2.6,0.32,Graduate,Middle,High,Medium,Medium
327,Single,1,1,9238,1,1,134.0,Portuguese,1,1,9,6,130.9,0,,1,1,Female,No Scholarship,18,0,0,6,10,6,11.85714286,0,0,6,9,5,11.0,0,13.9,-0.3,0.79,Graduate,High,High,Medium,Medium
328,Single,1,1,9853,1,1,132.0,Portuguese,2,19,4,4,125.0,1,,0,1,Female,No Scholarship,18,0,0,6,9,5,12.6,0,0,6,8,5,11.4,0,9.4,-0.8,-3.12,Enrolled,Middle,High,Medium,Medium
329,Single,1,1,9085,1,1,135.0,Portuguese,19,38,9,5,136.8,1,,0,1,Female,No Scholarship,18,0,0,5,11,5,14.0,3,0,5,7,5,11.6,0,9.4,-0.8,-3.12,Enrolled,High,High,Medium,Medium
330,Single,1,1,9853,1,1,123.0,Portuguese,1,38,9,6,121.6,1,,0,1,Female,No Scholarship,18,0,0,7,12,5,12.0,0,0,7,9,6,12.66666667,0,11.1,0.6,2.02,Enrolled,Middle,Middle,Medium,Medium
331,Single,44,1,9119,1,39,151.0,Portuguese,19,37,4,7,151.0,0,,1,1,Female,No Scholarship,26,0,0,5,6,0,0.0,0,0,5,5,0,0.0,0,16.2,0.3,-0.92,Dropout,High,High,Low,Low
332,Single,1,1,9238,1,1,107.0,Portuguese,38,38,7,7,103.5,1,,0,1,Female,No Scholarship,20,0,0,6,7,6,12.0,0,0,6,7,6,13.0,0,12.4,0.5,1.79,Graduate,Middle,Middle,Medium,Medium
333,Single,1,1,8014,0,1,126.0,Portuguese,37,38,9,10,119.4,0,,0,1,Female,No Scholarship,19,0,0,6,6,6,12.66666667,0,0,6,6,6,11.66666667,0,12.7,3.7,-1.7,Graduate,Middle,High,Medium,Medium
334,Single,1,1,9238,1,1,133.0,Portuguese,34,37,4,9,134.4,1,,0,1,Female,Scholarship,18,0,0,6,6,6,12.16666667,0,0,6,9,6,13.66666667,0,9.4,-0.8,-3.12,Graduate,High,High,Medium,Medium
335,Single,44,1,9238,1,39,140.0,Portuguese,38,37,7,7,143.0,0,,0,1,Female,No Scholarship,19,0,3,6,6,6,13.33333333,0,2,6,6,6,14.66666667,0,13.9,-0.3,0.79,Graduate,High,High,Medium,Medium
336,Single,7,1,9853,1,40,110.0,Portuguese,41,3,2,1,110.0,0,,1,1,Female,No Scholarship,40,0,0,7,8,7,15.0,0,0,7,7,7,14.57142857,0,12.4,0.5,1.79,Graduate,Middle,Middle,Medium,Medium
337,Single,1,4,9500,1,1,141.0,Portuguese,38,38,7,7,132.5,1,,0,1,Female,Scholarship,18,0,0,8,8,8,13.39125,0,0,8,8,8,13.39125,0,9.4,-0.8,-3.12,Graduate,High,High,Medium,Medium
338,Single,17,1,9238,1,1,122.0,Portuguese,3,1,9,10,114.7,0,,0,1,Female,No Scholarship,19,0,0,6,9,5,12.16666667,0,0,6,8,6,12.42857143,0,13.9,-0.3,0.79,Graduate,Middle,Middle,Medium,Medium
339,Single,17,1,9130,1,1,156.0,Portuguese,2,9,3,5,166.9,0,,0,1,Female,No Scholarship,18,0,0,5,9,4,11.25,0,0,5,6,4,12.5,0,7.6,2.6,0.32,Graduate,High,High,Medium,Medium
340,Single,1,1,9085,1,1,129.0,Portuguese,1,2,3,1,125.9,1,,0,1,Female,No Scholarship,19,0,0,5,13,4,12.0,2,0,5,8,3,12.0,0,9.4,-0.8,-3.12,Enrolled,High,High,Medium,Medium
341,Single,1,1,171,1,1,188.0,Portuguese,3,3,2,2,178.3,1,,0,1,Female,No Scholarship,18,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,15.5,2.8,-4.06,Dropout,High,High,Low,Low
342,Married,39,1,8014,0,1,120.0,Portuguese,37,37,9,9,117.0,1,,0,1,Female,No Scholarship,33,0,0,6,7,6,12.83333333,0,0,6,8,6,12.85714286,0,12.4,0.5,1.79,Graduate,Middle,Middle,Medium,Medium
343,Single,39,1,9003,1,3,130.0,Portuguese,3,3,1,2,150.0,0,,0,1,Female,No Scholarship,35,0,0,6,10,6,14.0,0,0,6,11,6,13.1,0,16.2,0.3,-0.92,Graduate,High,High,Medium,Medium
344,Single,42,1,9147,1,1,130.0,Portuguese,37,38,9,1,130.0,1,,0,1,Female,No Scholarship,26,0,3,5,5,4,13.0,0,1,5,7,2,12.0,0,9.4,-0.8,-3.12,Enrolled,High,High,Medium,Medium
345,Single,1,1,9773,1,1,140.0,Portuguese,19,19,7,5,135.1,1,,0,1,Female,No Scholarship,18,0,0,6,7,6,13.5,0,0,6,8,6,12.5,0,9.4,-0.8,-3.12,Graduate,High,High,Medium,Medium
346,Single,43,1,9238,1,1,110.0,Portuguese,37,37,9,9,110.0,0,,0,1,Female,No Scholarship,36,0,10,16,24,13,10.69230769,1,9,13,19,9,12.30769231,0,15.5,2.8,-4.06,Enrolled,Middle,Middle,Medium,Medium
347,Divorced,39,1,9991,0,1,133.1,Portuguese,37,37,6,6,136.2,0,,0,1,Female,No Scholarship,39,0,0,5,6,5,11.0,0,0,5,9,5,11.66666667,0,10.8,1.4,1.74,Graduate,High,High,Medium,Medium
348,Married,39,1,9238,1,1,120.0,Portuguese,37,37,9,9,116.0,0,,0,1,Female,No Scholarship,44,0,0,6,8,6,13.0,0,0,6,6,6,13.83333333,0,12.7,3.7,-1.7,Graduate,Middle,Middle,Medium,Medium
349,Single,1,2,8014,0,1,96.0,Portuguese,3,1,3,9,100.0,0,,0,1,Female,No Scholarship,20,0,0,6,10,5,12.0,0,0,6,9,4,11.25,0,9.4,-0.8,-3.12,Enrolled,Middle,Middle,Medium,Medium
350,Single,1,1,9254,1,1,117.0,Portuguese,19,19,9,9,116.3,1,,0,1,Female,No Scholarship,24,0,0,6,9,4,12.6,0,0,6,6,4,11.5,0,12.7,3.7,-1.7,Dropout,Middle,Middle,Medium,Medium
351,Single,43,1,9773,1,1,123.0,Portuguese,19,19,9,8,134.0,0,,0,1,Female,Scholarship,20,0,0,6,6,6,13.66666667,0,0,6,6,6,13.33333333,0,12.4,0.5,1.79,Graduate,High,Middle,Medium,Medium
352,Single,1,4,171,1,1,127.0,Portuguese,1,1,9,5,124.2,1,,0,0,Female,No Scholarship,19,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,9.4,-0.8,-3.12,Dropout,Middle,High,Low,Low
353,Married,1,1,9500,1,1,151.0,Portuguese,37,38,9,7,134.5,0,,1,1,Female,Scholarship,18,0,0,7,7,6,14.2,0,0,7,7,6,14.2,0,7.6,2.6,0.32,Graduate,High,High,Medium,Medium
354,Single,1,1,9254,1,1,127.0,Portuguese,19,19,4,6,120.7,0,,1,0,Female,No Scholarship,22,0,0,6,10,5,11.0,0,0,6,12,0,0.0,0,10.8,1.4,1.74,Dropout,Middle,High,Medium,Low
355,Single,17,1,9085,1,1,133.0,Portuguese,19,1,4,5,127.1,1,,0,1,Female,No Scholarship,18,0,0,6,7,6,15.0,0,0,6,7,6,16.42857143,0,11.1,0.6,2.02,Graduate,High,High,Medium,High
356,Single,39,1,9500,1,19,133.1,Portuguese,38,37,9,9,133.0,0,,0,1,Female,No Scholarship,24,0,0,7,9,6,12.58571429,0,0,8,9,7,13.44285714,0,13.9,-0.3,0.79,Graduate,High,High,Medium,Medium
357,Single,39,1,9991,0,1,133.1,Portuguese,37,37,90,8,128.2,0,,0,1,Female,No Scholarship,33,0,0,5,0,0,0.0,0,0,5,0,0,0.0,0,12.7,3.7,-1.7,Dropout,High,High,Low,Low
358,Single,39,1,9003,1,1,133.1,Portuguese,37,37,3,8,130.0,0,,1,1,Female,Scholarship,30,0,0,6,6,0,0.0,0,0,6,6,0,0.0,0,11.1,0.6,2.02,Enrolled,High,High,Low,Low
359,Single,39,1,9085,1,43,160.0,Portuguese,3,39,2,3,172.0,0,,0,1,Female,No Scholarship,26,0,0,6,0,0,0.0,0,0,6,0,0,0.0,0,8.9,1.4,3.51,Dropout,High,High,Low,Low
360,Single,17,4,9853,1,1,140.0,Portuguese,19,38,4,1,128.5,1,,0,1,Female,No Scholarship,18,0,0,6,7,6,11.66666667,0,0,6,10,6,11.83333333,0,10.8,1.4,1.74,Graduate,High,High,Medium,Medium
361,Single,1,1,9773,1,1,146.0,Portuguese,37,38,9,7,128.5,0,,1,1,Female,No Scholarship,19,0,0,6,13,3,12.66666667,0,0,6,12,2,10.0,0,10.8,1.4,1.74,Dropout,High,High,Medium,Low
362,Single,17,4,9147,1,1,112.0,Portuguese,19,38,9,10,112.0,1,,0,1,Female,No Scholarship,20,0,0,5,10,3,10.33333333,0,0,5,9,4,11.0,2,16.2,0.3,-0.92,Enrolled,Middle,Middle,Medium,Medium
363,Single,53,1,9085,1,42,140.0,Portuguese,19,37,9,8,142.5,1,,0,1,Female,Scholarship,22,0,7,11,18,8,13.5,0,4,9,16,7,13.71428571,0,8.9,1.4,3.51,Graduate,High,High,Medium,Medium
364,Single,1,4,9500,1,1,136.0,Portuguese,1,1,9,1,133.0,1,,0,1,Female,No Scholarship,19,0,0,7,8,5,13.98,0,0,7,8,5,13.98,0,7.6,2.6,0.32,Enrolled,High,High,Medium,Medium
365,Single,1,1,9085,1,1,133.1,Portuguese,37,38,7,5,106.0,1,,0,1,Female,Scholarship,21,0,0,6,13,6,16.15384615,0,0,6,10,6,15.75,0,15.5,2.8,-4.06,Graduate,Middle,High,High,High
366,Single,1,4,9500,1,1,136.0,Portuguese,19,38,4,8,125.5,1,,0,1,Female,Scholarship,21,0,0,7,7,6,14.03333333,0,0,7,7,6,14.03333333,0,7.6,2.6,0.32,Graduate,High,High,Medium,Medium
367,Single,17,1,9085,1,1,134.0,Portuguese,19,37,2,7,131.2,0,,0,1,Female,No Scholarship,19,0,0,5,8,1,11.0,0,0,5,6,5,11.2,0,7.6,2.6,0.32,Enrolled,High,High,Medium,Medium
368,Single,1,1,9853,1,1,122.0,Portuguese,38,37,191,195,112.9,1,,0,1,Female,Scholarship,19,0,0,7,8,7,13.85714286,0,0,7,8,6,13.66666667,0,8.9,1.4,3.51,Graduate,Middle,Middle,Medium,Medium
369,Single,1,6,9500,1,1,138.0,Portuguese,19,19,9,5,124.8,1,,0,1,Female,No Scholarship,18,0,0,8,8,7,13.41428571,0,0,8,8,7,13.41428571,0,12.7,3.7,-1.7,Dropout,Middle,High,Medium,Medium
370,Married,43,1,8014,0,1,160.0,Portuguese,37,39,9,4,140.9,0,,0,1,Female,No Scholarship,50,0,7,11,11,11,13.54545455,0,3,7,7,7,13.57142857,0,16.2,0.3,-0.92,Graduate,High,High,Medium,Medium
371,Divorced,39,1,9991,0,1,130.0,Portuguese,38,19,9,7,148.0,0,,0,1,Female,Scholarship,31,0,0,5,11,4,11.25,0,0,5,10,4,10.83333333,0,13.9,-0.3,0.79,Enrolled,High,High,Medium,Medium
372,Single,17,1,9773,1,1,161.0,Portuguese,1,19,4,7,148.4,0,,0,1,Female,Scholarship,19,0,0,6,6,6,13.83333333,0,0,6,7,6,14.42857143,0,15.5,2.8,-4.06,Graduate,High,High,Medium,Medium
373,Divorced,39,1,9991,0,1,140.0,Portuguese,1,37,141,192,129.7,0,,0,1,Female,No Scholarship,35,0,0,5,8,5,12.0,0,0,5,9,5,12.85714286,0,13.9,-0.3,0.79,Graduate,High,High,Medium,Medium
374,Married,39,1,9085,1,19,133.1,Portuguese,38,38,4,7,128.2,0,,0,1,Female,No Scholarship,31,0,0,6,0,0,0.0,0,0,6,0,0,0.0,0,12.7,3.7,-1.7,Dropout,High,High,Low,Low
375,Married,51,1,8014,0,19,133.1,Portuguese,37,37,9,9,104.0,0,,1,1,Female,No Scholarship,42,0,5,11,14,10,11.9,0,5,11,14,10,12.8,0,11.1,0.6,2.02,Enrolled,Middle,High,Medium,Medium
376,Single,18,4,9147,1,1,130.0,Portuguese,37,37,9,9,119.9,1,,0,0,Female,No Scholarship,34,0,0,5,5,0,0.0,0,0,5,0,0,0.0,0,9.4,-0.8,-3.12,Dropout,Middle,High,Low,Low
377,Single,1,1,9500,1,1,152.0,Portuguese,1,1,4,4,141.0,1,,0,1,Female,Scholarship,18,0,0,7,7,7,15.13571429,0,0,8,8,8,15.2875,0,12.4,0.5,1.79,Graduate,High,High,High,High
378,Single,17,1,9853,1,1,125.0,Portuguese,3,3,3,3,116.6,1,,0,0,Female,Scholarship,18,0,0,7,7,7,12.28571429,0,0,7,8,6,13.33333333,0,8.9,1.4,3.51,Enrolled,Middle,Middle,Medium,Medium
379,Single,44,1,9085,1,39,140.0,Portuguese,37,38,5,6,140.0,1,,0,1,Female,No Scholarship,21,0,2,6,16,5,12.66666667,0,1,6,15,2,13.5,0,16.2,0.3,-0.92,Enrolled,High,High,Medium,Medium
380,Divorced,39,1,9500,1,19,133.1,Portuguese,38,19,5,7,140.0,0,,0,1,Female,Scholarship,26,0,0,7,13,5,12.74,0,0,8,12,6,10.97857143,0,16.2,0.3,-0.92,Dropout,High,High,Medium,Medium
381,Single,43,1,9500,1,1,170.0,Portuguese,19,37,8,8,100.0,0,,0,1,Female,No Scholarship,20,0,0,7,8,6,13.25,0,0,8,8,8,13.75,0,13.9,-0.3,0.79,Enrolled,Middle,High,Medium,Medium
382,Single,1,1,9238,1,1,135.0,Portuguese,38,38,5,7,121.0,0,,0,1,Female,No Scholarship,19,0,0,6,13,3,10.33333333,0,0,6,12,3,10.33333333,0,7.6,2.6,0.32,Enrolled,Middle,High,Medium,Medium
383,Single,1,1,9853,1,1,125.0,Portuguese,19,19,5,5,117.0,0,,0,1,Female,Scholarship,19,0,0,6,7,6,13.42857143,0,0,6,6,6,13.16666667,0,15.5,2.8,-4.06,Graduate,Middle,Middle,Medium,Medium
384,Single,53,1,9147,1,42,140.0,Portuguese,3,4,2,1,140.2,0,,0,1,Female,No Scholarship,20,0,6,11,19,9,12.55555556,0,3,9,14,8,11.11111111,0,8.9,1.4,3.51,Graduate,High,High,Medium,Medium
385,Single,1,1,9238,1,1,124.0,Portuguese,34,34,0,0,129.3,0,,0,1,Female,No Scholarship,19,0,0,6,8,6,11.5,0,0,6,7,6,11.16666667,0,7.6,2.6,0.32,Graduate,High,Middle,Medium,Medium
386,Single,1,1,9853,1,1,140.0,Portuguese,37,37,9,9,145.3,0,,0,1,Female,No Scholarship,18,0,0,6,6,6,13.66666667,0,0,6,9,6,12.33333333,0,7.6,2.6,0.32,Graduate,High,High,Medium,Medium
387,Single,39,1,9991,0,3,130.0,Portuguese,37,37,9,9,146.2,0,,0,1,Female,No Scholarship,28,0,10,14,16,11,11.27272727,0,6,11,16,10,12.0,0,10.8,1.4,1.74,Graduate,High,High,Medium,Medium
388,Single,17,1,9853,1,1,134.0,Portuguese,1,19,4,5,122.5,1,,0,1,Female,No Scholarship,22,0,0,6,10,5,13.16666667,0,0,6,8,5,12.4,0,15.5,2.8,-4.06,Enrolled,Middle,High,Medium,Medium
389,Single,44,1,8014,0,39,160.0,Portuguese,37,37,7,7,156.1,0,,0,1,Female,Scholarship,21,0,3,6,6,6,14.66666667,0,2,6,6,6,14.16666667,0,13.9,-0.3,0.79,Graduate,High,High,Medium,Medium
390,Single,44,1,9085,1,39,140.0,Portuguese,4,38,4,5,140.0,1,,0,1,Female,No Scholarship,21,0,0,6,11,4,12.75,0,0,6,19,1,11.0,0,12.4,0.5,1.79,Enrolled,High,High,Medium,Medium
391,Single,39,1,9500,1,1,150.0,Portuguese,1,19,5,3,140.0,0,,0,1,Female,No Scholarship,26,0,0,7,11,5,11.2,0,0,8,13,5,12.14,0,16.2,0.3,-0.92,Enrolled,High,High,Medium,Medium
392,Single,1,6,9773,1,1,141.0,Portuguese,30,37,7,7,128.4,1,,1,0,Female,No Scholarship,18,0,0,6,8,5,13.0,0,0,6,8,5,11.4,0,7.6,2.6,0.32,Dropout,High,High,Medium,Medium
393,Single,17,2,9085,1,1,120.0,Portuguese,1,1,9,10,115.0,0,,0,0,Female,No Scholarship,20,0,0,5,8,2,10.5,0,0,5,8,2,12.33333333,0,7.6,2.6,0.32,Dropout,Middle,Middle,Medium,Medium
394,Single,17,2,9085,1,1,166.0,Portuguese,1,19,4,3,158.7,0,,0,1,Female,No Scholarship,18,0,0,6,7,6,14.85714286,0,0,6,7,6,14.0,0,11.1,0.6,2.02,Graduate,High,High,Medium,Medium
395,Single,1,4,9500,1,1,147.0,Portuguese,1,1,4,9,124.5,1,,0,1,Female,Scholarship,19,0,0,8,11,7,12.86,0,0,8,11,7,12.86,0,10.8,1.4,1.74,Graduate,Middle,High,Medium,Medium
396,Single,51,1,9238,1,1,121.0,Portuguese,3,19,3,10,111.9,1,,0,1,Female,No Scholarship,20,0,5,11,12,11,11.72727273,0,5,11,14,11,12.0,0,12.4,0.5,1.79,Graduate,Middle,Middle,Medium,Medium
397,Single,44,1,9085,1,39,150.0,Portuguese,38,37,4,6,150.0,1,,0,1,Female,Scholarship,22,0,3,6,11,6,13.14285714,0,2,6,10,3,12.0,0,13.9,-0.3,0.79,Graduate,High,High,Medium,Medium
398,Single,17,1,9670,1,1,124.0,Portuguese,37,19,5,8,114.2,1,,1,1,Female,No Scholarship,18,0,0,6,6,5,11.8,0,0,6,9,4,13.71428571,0,10.8,1.4,1.74,Dropout,Middle,Middle,Medium,Medium
399,Single,17,1,9147,1,1,96.0,Portuguese,38,37,6,4,96.0,1,,0,1,Female,No Scholarship,19,0,0,5,10,3,10.66666667,0,0,5,9,0,0.0,3,16.2,0.3,-0.92,Dropout,Middle,Middle,Medium,Low
400,Single,17,4,9070,1,1,125.0,Portuguese,1,3,3,3,128.9,0,,0,1,Female,Scholarship,18,0,0,6,9,5,11.6,0,0,6,8,4,11.2,0,8.9,1.4,3.51,Enrolled,High,Middle,Medium,Medium
401,Single,17,1,9254,1,1,136.0,Portuguese,37,37,7,7,121.7,1,,0,1,Female,No Scholarship,20,0,0,6,13,3,10.33333333,0,0,6,12,3,10.33333333,0,10.8,1.4,1.74,Enrolled,Middle,High,Medium,Medium
402,Single,1,1,9773,1,1,120.0,Portuguese,38,37,9,9,114.8,1,,0,1,Female,No Scholarship,19,0,0,6,11,4,12.25,0,0,6,11,3,11.0,0,7.6,2.6,0.32,Enrolled,Middle,Middle,Medium,Medium
403,Single,1,1,9254,1,1,128.0,Portuguese,19,38,9,9,127.0,0,,0,1,Female,No Scholarship,19,0,0,6,6,6,12.0,0,0,6,7,4,12.75,0,12.4,0.5,1.79,Enrolled,High,High,Medium,Medium
404,Single,17,1,9500,1,1,142.0,Portuguese,37,37,5,5,131.3,1,,0,1,Female,No Scholarship,19,0,0,8,8,7,14.73142857,0,0,8,8,7,14.73142857,0,10.8,1.4,1.74,Graduate,High,High,Medium,Medium
405,Single,1,1,171,1,1,135.0,Portuguese,1,19,3,9,137.1,1,,0,1,Female,No Scholarship,18,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,12.7,3.7,-1.7,Graduate,High,High,Low,Low
406,Single,7,1,9070,1,40,120.0,Portuguese,1,19,3,9,120.0,1,,0,1,Female,No Scholarship,21,0,9,13,14,13,13.61538462,1,6,12,12,12,14.25,0,13.9,-0.3,0.79,Graduate,Middle,Middle,Medium,Medium
407,Single,39,1,9991,0,40,140.0,Portuguese,1,19,9,9,139.0,0,,0,1,Female,No Scholarship,27,0,0,5,5,5,15.8,0,0,5,5,5,14.8,0,8.9,1.4,3.51,Graduate,High,High,High,Medium
408,Single,17,1,9238,1,1,135.0,Portuguese,1,19,4,4,129.1,0,,0,1,Female,No Scholarship,19,0,0,6,6,6,14.66666667,0,0,6,7,6,14.57142857,0,15.5,2.8,-4.06,Graduate,High,High,Medium,Medium
409,Divorced,39,1,9085,1,1,133.1,Portuguese,34,34,0,0,128.2,0,,0,1,Female,No Scholarship,25,0,0,5,5,0,0.0,0,0,5,5,0,0.0,0,7.6,2.6,0.32,Dropout,High,High,Low,Low
410,Single,1,2,9500,1,1,137.0,Portuguese,19,19,7,7,120.8,1,,0,1,Female,Scholarship,18,0,0,8,8,7,14.65428571,0,0,8,8,7,14.65428571,0,10.8,1.4,1.74,Graduate,Middle,High,Medium,Medium
411,Single,39,1,9500,1,3,122.0,Portuguese,19,1,4,8,135.8,0,,0,1,Female,No Scholarship,24,0,0,8,8,7,12.40142857,0,0,8,8,7,12.40142857,0,10.8,1.4,1.74,Graduate,High,Middle,Medium,Medium
412,Single,1,3,9500,1,1,128.0,Portuguese,1,1,4,10,118.9,1,,0,1,Female,No Scholarship,20,0,0,7,8,7,11.5875,0,0,8,9,7,14.07142857,0,13.9,-0.3,0.79,Graduate,Middle,High,Medium,Medium
413,Single,7,1,9991,0,40,140.0,Portuguese,37,37,6,6,140.0,0,,0,1,Female,No Scholarship,26,0,3,5,5,5,14.0,0,1,5,5,5,15.6,0,12.4,0.5,1.79,Graduate,High,High,Medium,High
414,Single,1,1,9238,1,1,132.0,Portuguese,1,38,9,7,127.1,1,,0,1,Female,Scholarship,20,0,0,6,9,6,12.33333333,0,0,6,6,6,11.83333333,0,8.9,1.4,3.51,Graduate,High,High,Medium,Medium
415,Single,1,1,9085,1,1,131.0,Portuguese,37,37,90,90,137.0,0,,0,1,Female,No Scholarship,18,0,0,5,5,5,14.0,0,0,5,6,5,15.4,0,7.6,2.6,0.32,Graduate,High,High,Medium,High
416,Single,1,1,9085,1,1,126.0,Portuguese,1,1,9,9,127.4,1,,0,1,Female,No Scholarship,19,0,0,6,13,6,15.23076923,0,0,6,10,6,12.375,0,15.5,2.8,-4.06,Graduate,High,High,High,Medium
417,Single,1,1,9853,1,1,133.1,Portuguese,19,19,9,9,97.0,1,,0,1,Female,No Scholarship,23,0,0,6,9,5,11.6,0,0,6,9,3,11.0,0,12.7,3.7,-1.7,Dropout,Middle,High,Medium,Medium
418,Single,1,4,9500,1,1,136.0,Portuguese,37,37,9,9,126.3,1,,0,1,Female,Scholarship,18,0,0,7,7,6,11.6,0,0,7,7,6,11.6,0,7.6,2.6,0.32,Graduate,High,High,Medium,Medium
419,Single,1,4,9500,1,1,140.0,Portuguese,1,19,4,5,127.5,0,,0,1,Female,No Scholarship,18,0,0,7,0,0,0.0,0,0,8,0,0,0.0,0,12.7,3.7,-1.7,Dropout,High,High,Low,Low
